Sun Jul 26 11:02:58 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off |   00000000:17:00.0 Off |                    0 |
| N/A   26C    P0             38W /  250W |     423MiB /  40960MiB |      2%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           10214      C   python                                  414MiB |
+-----------------------------------------------------------------------------------------+
CUDA available: True
Device count: 1
Device 0: NVIDIA A100-PCIE-40GB
Device Name: cuda
Loaded dataset: tokens (599, 36) | targets (599, 36, 3)
Loaded dataset: tokens (1399, 36) | targets (1399, 36, 3)
Epoch 5000 | Train Loss: 0.3957 | Test Loss: 0.4767 | Train Acc: 0.5942 | Test Acc: 0.4997 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6883
Epoch 5100 | Train Loss: 0.3956 | Test Loss: 0.4769 | Train Acc: 0.6031 | Test Acc: 0.5059 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6883
Epoch 5200 | Train Loss: 0.3958 | Test Loss: 0.4783 | Train Acc: 0.6125 | Test Acc: 0.4883 | Train Bit Acc: 0.7633 | Test Bit Acc: 0.6874
Epoch 5300 | Train Loss: 0.3955 | Test Loss: 0.4777 | Train Acc: 0.6034 | Test Acc: 0.5081 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6881
Epoch 5400 | Train Loss: 0.3955 | Test Loss: 0.4788 | Train Acc: 0.6098 | Test Acc: 0.5023 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6877
Epoch 5500 | Train Loss: 0.3955 | Test Loss: 0.4786 | Train Acc: 0.6129 | Test Acc: 0.5067 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6879
Epoch 5600 | Train Loss: 0.3955 | Test Loss: 0.4786 | Train Acc: 0.5967 | Test Acc: 0.4937 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6887
Epoch 5700 | Train Loss: 0.3955 | Test Loss: 0.4809 | Train Acc: 0.6006 | Test Acc: 0.4939 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6875
Epoch 5800 | Train Loss: 0.3954 | Test Loss: 0.4797 | Train Acc: 0.6029 | Test Acc: 0.5024 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6874
Epoch 5900 | Train Loss: 0.3954 | Test Loss: 0.4801 | Train Acc: 0.6118 | Test Acc: 0.5068 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6879
Epoch 6000 | Train Loss: 0.3953 | Test Loss: 0.4807 | Train Acc: 0.6116 | Test Acc: 0.5046 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6874
Epoch 6100 | Train Loss: 0.3953 | Test Loss: 0.4805 | Train Acc: 0.6023 | Test Acc: 0.5066 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6879
Epoch 6200 | Train Loss: 0.3953 | Test Loss: 0.4802 | Train Acc: 0.5964 | Test Acc: 0.4955 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6885
Epoch 6300 | Train Loss: 0.3953 | Test Loss: 0.4813 | Train Acc: 0.6110 | Test Acc: 0.5056 | Train Bit Acc: 0.7635 | Test Bit Acc: 0.6879
Epoch 6400 | Train Loss: 0.3954 | Test Loss: 0.4815 | Train Acc: 0.5991 | Test Acc: 0.4978 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6886
